Period,VNI_Return,Equal_Return,ONI_Return,Alpha_Return,VNI_Cumulative,Equal_Cumulative,ONI_Cumulative,Alpha_Cumulative
31/3/2023,5.714484306,8.970772167,8.970772167,12.55161293,130.8763255,867.2521564,1268.71695,1309.236662
30/6/2023,5.216786895,8.780023168,9.892703884,8.495499111,142.9206514,952.1771199,1404.120064,1428.95835
30/9/2023,3.03254834,-4.134269389,-10.13160592,-8.49316422,150.2873376,908.6772833,1251.728547,1299.101406
31/12/2023,-2.098514058,2.905322621,1.603524454,5.442052222,145.0350227,937.9826126,1273.403845,1375.241235
31/3/2024,13.64332304,9.472113929,4.902638216,5.260633694,178.4659424,1036.301508,1340.736867,1452.848273
30/6/2024,-3.019258775,7.733900281,7.733900281,15.27621767,170.058335,1124.181934,1452.162019,1690.064755
30/9/2024,3.422413516,-8.006559845,-8.006559845,-7.772704313,179.3008479,1026.167075,1327.887238,1550.928315
31/12/2024,-1.642933677,0.890212683,2.428419852,5.478831601,174.7121202,1036.192357,1362.562335,1641.379897
31/3/2025,3.163927438,2.321725307,2.321725307,0.741132196,183.4038124,1062.571622,1396.519015,1654.285824
30/6/2025,5.295900096,-1.141588225,-1.141588225,1.862173517,198.4125951,1049.299841,1379.43493,1686.95367
