timestamp,close,symbol,type
2010-10-11,3749.0,HDG,hydro
2010-10-11,3165.0,NT2,gas
2010-10-11,3207.0,PPC,coal
2010-10-11,3941.0,REE,hydro
2010-10-11,2520.0,SBA,hydro
2010-10-11,2737.0,SHP,hydro
2010-10-11,4154.0,TBC,hydro
2010-10-11,3276.0,TMP,hydro
2010-10-11,4736.0,VSH,hydro
2010-10-12,3660.0,HDG,hydro
2010-10-12,3165.0,NT2,gas
2010-10-12,3154.0,PPC,coal
2010-10-12,3891.0,REE,hydro
2010-10-12,2489.0,SBA,hydro
2010-10-12,2470.0,SHP,hydro
2010-10-12,4062.0,TBC,hydro
2010-10-12,3171.0,TMP,hydro
2010-10-12,4656.0,VSH,hydro
2010-10-13,3727.0,HDG,hydro
2010-10-13,3231.0,NT2,gas
2010-10-13,3234.0,PPC,coal
2010-10-13,3966.0,REE,hydro
2010-10-13,2581.0,SBA,hydro
2010-10-13,2232.0,SHP,hydro
2010-10-13,4032.0,TBC,hydro
2010-10-13,3145.0,TMP,hydro
2010-10-13,4696.0,VSH,hydro
2010-10-14,3682.0,HDG,hydro
2010-10-14,3165.0,NT2,gas
2010-10-14,3154.0,PPC,coal
2010-10-14,3966.0,REE,hydro
2010-10-14,2581.0,SBA,hydro
2010-10-14,2023.0,SHP,hydro
2010-10-14,3971.0,TBC,hydro
2010-10-14,3145.0,TMP,hydro
2010-10-14,4736.0,VSH,hydro
2010-10-15,3705.0,HDG,hydro
2010-10-15,3165.0,NT2,gas
2010-10-15,3180.0,PPC,coal
2010-10-15,3966.0,REE,hydro
2010-10-15,2550.0,SBA,hydro
2010-10-15,1845.0,SHP,hydro
2010-10-15,3879.0,TBC,hydro
2010-10-15,3119.0,TMP,hydro
2010-10-15,4696.0,VSH,hydro
2010-10-18,3771.0,HDG,hydro
2010-10-18,3231.0,NT2,gas
2010-10-18,3154.0,PPC,coal
2010-10-18,3916.0,REE,hydro
2010-10-18,2520.0,SBA,hydro
2010-10-18,1666.0,SHP,hydro
2010-10-18,3818.0,TBC,hydro
2010-10-18,3197.0,TMP,hydro
2010-10-18,4736.0,VSH,hydro
2010-10-19,3682.0,HDG,hydro
2010-10-19,3231.0,NT2,gas
2010-10-19,3127.0,PPC,coal
2010-10-19,3816.0,REE,hydro
2010-10-19,2550.0,SBA,hydro
2010-10-19,1636.0,SHP,hydro
2010-10-19,3818.0,TBC,hydro
2010-10-19,3066.0,TMP,hydro
2010-10-19,4656.0,VSH,hydro
2010-10-20,3638.0,HDG,hydro
2010-10-20,3198.0,NT2,gas
2010-10-20,3020.0,PPC,coal
2010-10-20,3666.0,REE,hydro
2010-10-20,2427.0,SBA,hydro
2010-10-20,1666.0,SHP,hydro
2010-10-20,3665.0,TBC,hydro
2010-10-20,3014.0,TMP,hydro
2010-10-20,4495.0,VSH,hydro
2010-10-21,3638.0,HDG,hydro
2010-10-21,3231.0,NT2,gas
2010-10-21,3047.0,PPC,coal
2010-10-21,3691.0,REE,hydro
2010-10-21,2335.0,SBA,hydro
2010-10-21,1755.0,SHP,hydro
2010-10-21,3757.0,TBC,hydro
2010-10-21,2988.0,TMP,hydro
2010-10-21,4375.0,VSH,hydro
2010-10-22,3682.0,HDG,hydro
2010-10-22,3231.0,NT2,gas
2010-10-22,3020.0,PPC,coal
2010-10-22,3691.0,REE,hydro
2010-10-22,2366.0,SBA,hydro
2010-10-22,1785.0,SHP,hydro
2010-10-22,3788.0,TBC,hydro
2010-10-22,3014.0,TMP,hydro
2010-10-22,4455.0,VSH,hydro
2010-10-25,3682.0,HDG,hydro
2010-10-25,3231.0,NT2,gas
2010-10-25,2966.0,PPC,coal
2010-10-25,3716.0,REE,hydro
2010-10-25,2458.0,SBA,hydro
2010-10-25,1696.0,SHP,hydro
2010-10-25,3788.0,TBC,hydro
2010-10-25,3014.0,TMP,hydro
2010-10-25,4415.0,VSH,hydro
2010-10-26,3727.0,HDG,hydro
2010-10-26,3231.0,NT2,gas
2010-10-26,3047.0,PPC,coal
2010-10-26,3841.0,REE,hydro
2010-10-26,2489.0,SBA,hydro
2010-10-26,1726.0,SHP,hydro
2010-10-26,3910.0,TBC,hydro
2010-10-26,3014.0,TMP,hydro
2010-10-26,4495.0,VSH,hydro
2010-10-27,3638.0,HDG,hydro
2010-10-27,3165.0,NT2,gas
2010-10-27,3020.0,PPC,coal
2010-10-27,3741.0,REE,hydro
2010-10-27,2489.0,SBA,hydro
2010-10-27,1666.0,SHP,hydro
2010-10-27,3910.0,TBC,hydro
2010-10-27,3014.0,TMP,hydro
2010-10-27,4415.0,VSH,hydro
2010-10-28,3616.0,HDG,hydro
2010-10-28,3165.0,NT2,gas
2010-10-28,2993.0,PPC,coal
2010-10-28,3741.0,REE,hydro
2010-10-28,2489.0,SBA,hydro
2010-10-28,1726.0,SHP,hydro
2010-10-28,3940.0,TBC,hydro
2010-10-28,2986.0,TMP,hydro
2010-10-28,4415.0,VSH,hydro
2010-10-29,3682.0,HDG,hydro
2010-10-29,3165.0,NT2,gas
2010-10-29,3020.0,PPC,coal
2010-10-29,3741.0,REE,hydro
2010-10-29,2489.0,SBA,hydro
2010-10-29,1756.0,SHP,hydro
2010-10-29,3879.0,TBC,hydro
2010-10-29,2986.0,TMP,hydro
2010-10-29,4495.0,VSH,hydro
2010-11-01,3682.0,HDG,hydro
2010-11-01,3198.0,NT2,gas
2010-11-01,3073.0,PPC,coal
2010-11-01,3716.0,REE,hydro
2010-11-01,2458.0,SBA,hydro
2010-11-01,1756.0,SHP,hydro
2010-11-01,3818.0,TBC,hydro
2010-11-01,3014.0,TMP,hydro
2010-11-01,4616.0,VSH,hydro
2010-11-02,3660.0,HDG,hydro
2010-11-02,3164.0,NT2,gas
2010-11-02,3020.0,PPC,coal
2010-11-02,3642.0,REE,hydro
2010-11-02,2489.0,SBA,hydro
2010-11-02,1696.0,SHP,hydro
2010-11-02,3788.0,TBC,hydro
2010-11-02,3014.0,TMP,hydro
2010-11-02,4656.0,VSH,hydro
2010-11-03,3483.0,HDG,hydro
2010-11-03,3131.0,NT2,gas
2010-11-03,3020.0,PPC,coal
2010-11-03,3617.0,REE,hydro
2010-11-03,2397.0,SBA,hydro
